"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
83,83,"Jun 29","","LAD","L,2-6",36,33,2,6,1,0,0,2,2,0,15,1,0,0,0,1,0,0,0.244,0.315,0.386,0.701,7,"10","L","C.Kershaw(79)","LAA","Home"
84,84,"Jun 30","","SEA","L,0-10",33,30,0,5,1,0,0,0,3,0,5,0,0,0,0,2,0,0,0.243,0.314,0.384,0.698,6,"12","L","A.Miranda(75)","LAA","Home"
85,85,"Jul 1","","SEA","W,4-0",32,29,4,7,1,0,1,3,3,1,5,0,0,0,0,1,1,1,0.243,0.314,0.384,0.698,4,"11","R","S.Gaviglio(53)","LAA","Home"
86,86,"Jul 2","","SEA","L,3-5",33,30,3,6,0,0,0,3,2,0,5,0,0,1,0,1,1,1,0.242,0.313,0.382,0.695,3,"13","L","J.Paxton(66)","LAA","Home"
87,87,"Jul 3","@","MIN","L,5-9",38,37,5,12,1,0,2,5,1,0,5,0,0,0,0,2,0,0,0.244,0.313,0.384,0.697,6,"10","L","A.Mejia(51)","LAA","Away"
88,88,"Jul 4","@","MIN","L,4-5",36,33,4,9,1,0,2,3,3,0,6,0,0,0,0,1,0,2,0.244,0.314,0.385,0.699,5,"11","R","K.Gibson(58)","LAA","Away"
89,89,"Jul 5","@","MIN","W,2-1",34,31,2,7,1,0,1,1,2,0,5,0,1,0,0,2,2,0,0.244,0.313,0.385,0.698,5,"10","R","E.Santana(68)","LAA","Away"
90,90,"Jul 7","@","TEX","L,0-10",28,27,0,3,0,0,0,0,1,0,9,0,0,0,0,3,0,0,0.242,0.312,0.382,0.694,1,"13","L","C.Hamels(78)","LAA","Away"
91,91,"Jul 8","@","TEX","L,2-5",38,33,2,7,2,0,1,2,3,0,7,2,0,0,0,0,0,0,0.242,0.312,0.382,0.694,9,"11","R","T.Ross(58)","LAA","Away"
92,92,"Jul 9","@","TEX","W,3-0",35,29,3,5,2,0,1,3,5,1,8,0,0,1,0,1,3,1,0.241,0.312,0.382,0.693,5,"11","R","Y.Darvish(66)","LAA","Away"
93,93,"Jul 14","","TBR","L,1-2",39,35,1,5,1,0,1,1,2,0,6,2,0,0,0,0,1,1,0.24,0.311,0.38,0.691,8,"9","R","J.Faria(62)","LAA","Home"
94,94,"Jul 15","","TBR","L,3-6",36,33,3,8,1,0,2,3,3,0,6,0,0,0,0,1,0,0,0.24,0.311,0.381,0.692,6,"9","R","A.Cobb(64)","LAA","Home"
95,95,"Jul 16","","TBR","W,4-3",36,30,4,8,1,0,1,4,5,0,10,0,1,0,0,1,0,0,0.241,0.311,0.381,0.692,8,"10","R","C.Archer(58)","LAA","Home"
96,96,"Jul 18","","WSN","L,3-4",31,30,3,4,1,0,2,3,1,0,4,0,0,0,1,0,0,2,0.24,0.31,0.381,0.691,1,"11","R","E.Jackson(66)","LAA","Home"
97,97,"Jul 19","","WSN","W,7-0",37,32,7,9,0,0,2,7,4,0,6,0,0,1,0,0,1,0,0.24,0.31,0.382,0.692,6,"9","L","G.Gonzalez(43)","LAA","Home"
98,98,"Jul 21","","BOS","L,2-6",37,33,2,7,1,0,1,2,4,0,10,0,0,0,0,1,0,0,0.24,0.31,0.381,0.692,8,"11","L","C.Sale(71)","LAA","Home"
99,99,"Jul 22","","BOS","W,7-3",38,34,7,10,2,0,1,6,3,0,7,1,0,0,2,0,2,1,0.24,0.311,0.382,0.693,7,"9","L","D.Price(33)","LAA","Home"
100,100,"Jul 23","","BOS","W,3-2",31,29,3,5,0,0,3,3,1,0,6,1,0,0,0,0,0,0,0.24,0.31,0.383,0.693,4,"9","R","R.Porcello(65)","LAA","Home"
101,101,"Jul 25","@","CLE","L,7-11",48,43,7,13,4,0,2,7,4,1,10,0,1,0,0,1,0,0,0.241,0.311,0.385,0.696,8,"12","R","M.Clevinger(26)","LAA","Away"
